category,prefix_offset_decimal,prefix_offset_hex,string_offset_decimal,string_offset_hex,prefix_size,prefix_hex,length,string_end_hex,before_hex,after_hex,value
entity_selector,11583848,0xB0C168,11583849,0xB0C169,1,06,6,0xB0C16F,4F 77 6E 65 72 45 6E 74 69 74 79 00 0C 01 06 43 61 73 74 65 72 00 00 02 A8 0F 0E AD 01 1C 0C 01,0A 00 00 00 02 A8 0F 0E 38 04 04 9C 02 0C 0C 01 06 43 61 73 74 65 72 D2 01 9C 02 0C 0C 01 06 43,Caster
entity_selector,11583871,0xB0C17F,11583872,0xB0C180,1,06,6,0xB0C186,02 A8 0F 0E AD 01 1C 0C 01 06 43 61 73 74 65 72 0A 00 00 00 02 A8 0F 0E 38 04 04 9C 02 0C 0C 01,D2 01 9C 02 0C 0C 01 06 43 61 73 74 65 72 04 00 02 31 0E 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77,Caster
entity_selector,11583885,0xB0C18D,11583886,0xB0C18E,1,06,6,0xB0C194,65 72 0A 00 00 00 02 A8 0F 0E 38 04 04 9C 02 0C 0C 01 06 43 61 73 74 65 72 D2 01 9C 02 0C 0C 01,04 00 02 31 0E 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 00 04 19 4D 41,Caster
entity_selector,11583899,0xB0C19B,11583900,0xB0C19C,1,13,19,0xB0C1AF,02 0C 0C 01 06 43 61 73 74 65 72 D2 01 9C 02 0C 0C 01 06 43 61 73 74 65 72 04 00 02 31 0E 0C 01,00 04 19 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 52 65 76 69 76 65 5F 4D 61 72 6B 00 00 05 A4,ModifierOwnerEntity
mechanic_symbol,11583921,0xB0C1B1,11583922,0xB0C1B2,1,19,25,0xB0C1CB,74 65 72 04 00 02 31 0E 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 00 04,00 00 05 A4 01 00 17 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 48 65 61 6C 5F 4D 61 72 6B 8E 80,MAvatar_Bailu_Revive_Mark
mechanic_symbol,11583953,0xB0C1D1,11583954,0xB0C1D2,1,17,23,0xB0C1E9,19 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 52 65 76 69 76 65 5F 4D 61 72 6B 00 00 05 A4 01 00,8E 80 84 10 02 0E 02 99 A1 84 C8 03 00 00 00 00 DA 99 8D DE 0D 00 00 00 00 01 06 05 04 04 A8 0F,MAvatar_Bailu_Heal_Mark
entity_selector,11584018,0xB0C212,11584019,0xB0C213,1,13,19,0xB0C226,84 C8 03 00 00 00 00 DA 99 8D DE 0D 00 00 00 00 01 06 05 04 04 A8 0F 06 34 04 04 AF 01 1C 0C 01,08 00 80 80 80 80 40 90 01 DC 01 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74,ModifierOwnerEntity
entity_selector,11584051,0xB0C233,11584052,0xB0C234,1,13,19,0xB0C247,4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 08 00 80 80 80 80 40 90 01 DC 01 0C 01,04 09 4D 44 46 5F 41 64 64 53 50 04 02 00 00 04 C3 0D 82 02 0C 01 13 4D 6F 64 69 66 69 65 72 4F,ModifierOwnerEntity
dynamic_field,11584072,0xB0C248,11584073,0xB0C249,1,09,9,0xB0C252,80 80 80 80 40 90 01 DC 01 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 04,04 02 00 00 04 C3 0D 82 02 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 01,MDF_AddSP
entity_selector,11584093,0xB0C25D,11584094,0xB0C25E,1,13,19,0xB0C271,77 6E 65 72 45 6E 74 69 74 79 04 09 4D 44 46 5F 41 64 64 53 50 04 02 00 00 04 C3 0D 82 02 0C 01,01 03 01 00 11 00 01 EF 91 E7 DE 04 E4 1B 82 84 80 01 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E,ModifierOwnerEntity
entity_selector,11584133,0xB0C285,11584134,0xB0C286,1,13,19,0xB0C299,72 4F 77 6E 65 72 45 6E 74 69 74 79 01 03 01 00 11 00 01 EF 91 E7 DE 04 E4 1B 82 84 80 01 0C 01,3D 45 66 66 65 63 74 73 2F 45 66 66 5F 50 72 65 66 61 62 2F 45 66 66 5F 43 6F 6D 6D 6F 6E 2F 45,ModifierOwnerEntity
resource,11584134,0xB0C286,11584135,0xB0C287,1,4D,77,0xB0C2D4,4F 77 6E 65 72 45 6E 74 69 74 79 01 03 01 00 11 00 01 EF 91 E7 DE 04 E4 1B 82 84 80 01 0C 01 13,66 61 62 00 E6 10 06 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 04 18 4D,odifierOwnerEntity=Effects/Eff_Prefab/Eff_Common/Eff_Common_MAZ_RecoverSP.pre
resource,11584153,0xB0C299,11584154,0xB0C29A,1,3D,61,0xB0C2D7,91 E7 DE 04 E4 1B 82 84 80 01 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79,00 E6 10 06 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 04 18 4D 41 76 61,Effects/Eff_Prefab/Eff_Common/Eff_Common_MAZ_RecoverSP.prefab
resource,11584161,0xB0C2A1,11584162,0xB0C2A2,1,2F,47,0xB0C2D1,80 01 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 3D 45 66 66 65 63 74 73,70 72 65 66 61 62 00 E6 10 06 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79,Eff_Prefab/Eff_Common/Eff_Common_MAZ_RecoverSP.
entity_selector,11584221,0xB0C2DD,11584222,0xB0C2DE,1,13,19,0xB0C2F1,6F 6D 6D 6F 6E 5F 4D 41 5A 5F 52 65 63 6F 76 65 72 53 50 2E 70 72 65 66 61 62 00 E6 10 06 0C 01,04 18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 33 05 6A 02 9E 17 24,ModifierOwnerEntity
mechanic_symbol,11584242,0xB0C2F2,11584243,0xB0C2F3,1,18,24,0xB0C30B,72 65 66 61 62 00 E6 10 06 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 04,05 6A 02 9E 17 24 04 17 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 48 65 61 6C 5F 4D 61 72 6B 01,MAvatar_Bailu_00_PointB3
mechanic_symbol,11584274,0xB0C312,11584275,0xB0C313,1,17,23,0xB0C32A,18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 33 05 6A 02 9E 17 24 04,01 06 01 00 01 01 02 11 00 02 99 A1 84 C8 03 DA 99 8D DE 0D 05 A4 01 02 A8 0F 06 AD 01 1C 0C 01,MAvatar_Bailu_Heal_Mark
entity_selector,11584330,0xB0C34A,11584331,0xB0C34B,1,13,19,0xB0C35E,01 06 01 00 01 01 02 11 00 02 99 A1 84 C8 03 DA 99 8D DE 0D 05 A4 01 02 A8 0F 06 AD 01 1C 0C 01,02 00 00 06 C9 0B B2 09 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 04 01,ModifierOwnerEntity
entity_selector,11584360,0xB0C368,11584361,0xB0C369,1,13,19,0xB0C37C,0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 02 00 00 06 C9 0B B2 09 0C 01,04 01 03 01 00 11 00 01 AD 93 CD E3 06 01 03 01 00 11 00 01 F3 C4 86 53 11 CD CC 4C 3F 06 4F 72,ModifierOwnerEntity
other,11584409,0xB0C399,11584410,0xB0C39A,1,06,6,0xB0C3A0,69 74 79 04 01 03 01 00 11 00 01 AD 93 CD E3 06 01 03 01 00 11 00 01 F3 C4 86 53 11 CD CC 4C 3F,9A 0D 8A 0C 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 39 45 66 66 65 63,Origin
entity_selector,11584422,0xB0C3A6,11584423,0xB0C3A7,1,13,19,0xB0C3BA,CD E3 06 01 03 01 00 11 00 01 F3 C4 86 53 11 CD CC 4C 3F 06 4F 72 69 67 69 6E 9A 0D 8A 0C 0C 01,39 45 66 66 65 63 74 73 2F 45 66 66 5F 50 72 65 66 61 62 2F 45 66 66 5F 43 6F 6D 6D 6F 6E 2F 45,ModifierOwnerEntity
resource,11584442,0xB0C3BA,11584443,0xB0C3BB,1,39,57,0xB0C3F4,4F 72 69 67 69 6E 9A 0D 8A 0C 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79,00 00 80 BF 02 9E 17 0C 04 17 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 48 65 61 6C 5F 4D 61 72,Effects/Eff_Prefab/Eff_Common/Eff_Common_Heal_Maze.prefab
resource,11584450,0xB0C3C2,11584451,0xB0C3C3,1,2F,47,0xB0C3F2,8A 0C 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 39 45 66 66 65 63 74 73,61 62 00 00 80 BF 02 9E 17 0C 04 17 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 48 65 61 6C 5F 4D,Eff_Prefab/Eff_Common/Eff_Common_Heal_Maze.pref
mechanic_symbol,11584509,0xB0C3FD,11584510,0xB0C3FE,1,17,23,0xB0C415,43 6F 6D 6D 6F 6E 5F 48 65 61 6C 5F 4D 61 7A 65 2E 70 72 65 66 61 62 00 00 80 BF 02 9E 17 0C 04,04 18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 88 80 82 10 01 A3,MAvatar_Bailu_Heal_Mark
mechanic_symbol,11584534,0xB0C416,11584535,0xB0C417,1,18,24,0xB0C42F,80 BF 02 9E 17 0C 04 17 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 48 65 61 6C 5F 4D 61 72 6B 04,88 80 82 10 01 A3 97 A2 E7 06 00 00 00 00 02 5A 04 05 5C 04 EE 15 1A 0C 4F 76 65 72 66 6C 6F 77,MAvatar_Bailu_00_PointB1
other,11584582,0xB0C446,11584583,0xB0C447,1,0C,12,0xB0C453,30 5F 50 6F 69 6E 74 42 31 88 80 82 10 01 A3 97 A2 E7 06 00 00 00 00 02 5A 04 05 5C 04 EE 15 1A,0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 08 A8 0F 06 90 01 C8 01 04 0C,Overflowheal
entity_selector,11584597,0xB0C455,11584598,0xB0C456,1,13,19,0xB0C469,97 A2 E7 06 00 00 00 00 02 5A 04 05 5C 04 EE 15 1A 0C 4F 76 65 72 66 6C 6F 77 68 65 61 6C 0C 01,08 A8 0F 06 90 01 C8 01 04 0C 4F 76 65 72 66 6C 6F 77 68 65 61 6C 02 00 00 02 31 8A 44 0C 01 0B,ModifierOwnerEntity
other,11584626,0xB0C472,11584627,0xB0C473,1,0C,12,0xB0C47F,6C 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 08 A8 0F 06 90 01 C8 01 04,02 00 00 02 31 8A 44 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79 04 23 4D 41 76 61 74 61 72 5F 42,Overflowheal
entity_selector,11584648,0xB0C488,11584649,0xB0C489,1,0B,11,0xB0C494,79 08 A8 0F 06 90 01 C8 01 04 0C 4F 76 65 72 66 6C 6F 77 68 65 61 6C 02 00 00 02 31 8A 44 0C 01,04 23 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 5F 48 50 49 6E 63,ParamEntity
other,11584660,0xB0C494,11584661,0xB0C495,1,04,4,0xB0C499,76 65 72 66 6C 6F 77 68 65 61 6C 02 00 00 02 31 8A 44 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79,61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 5F 48 50 49 6E 63 72 65 61 73 65,#MAv
mechanic_symbol,11584661,0xB0C495,11584662,0xB0C496,1,23,35,0xB0C4B9,65 72 66 6C 6F 77 68 65 61 6C 02 00 00 02 31 8A 44 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79 04,01 03 01 00 11 00 01 FE CB 86 B1 02 02 0E 4D 44 46 5F 48 50 49 6E 63 72 65 61 73 65 01 03 01 00,MAvatar_Bailu_00_PointB1_HPIncrease
dynamic_field,11584710,0xB0C4C6,11584711,0xB0C4C7,1,0E,14,0xB0C4D5,5F 50 6F 69 6E 74 42 31 5F 48 50 49 6E 63 72 65 61 73 65 01 03 01 00 11 00 01 FE CB 86 B1 02 02,01 03 01 00 11 00 01 9D C4 93 8A 07 05 82 02 02 31 8A C0 02 0C 01 0B 50 61 72 61 6D 45 6E 74 69,MDF_HPIncrease
entity_selector,11584747,0xB0C4EB,11584748,0xB0C4EC,1,0B,11,0xB0C4F7,48 50 49 6E 63 72 65 61 73 65 01 03 01 00 11 00 01 9D C4 93 8A 07 05 82 02 02 31 8A C0 02 0C 01,04 1C 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 5F 53 75 62 04 0C,ParamEntity
mechanic_symbol,11584760,0xB0C4F8,11584761,0xB0C4F9,1,1C,28,0xB0C515,00 11 00 01 9D C4 93 8A 07 05 82 02 02 31 8A C0 02 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79 04,04 0C 4D 44 46 5F 4C 69 66 65 54 69 6D 65 01 03 01 00 11 00 01 FE CB 86 B1 02 0F 4D 44 46 5F 48,MAvatar_Bailu_00_PointB1_Sub
dynamic_field,11584790,0xB0C516,11584791,0xB0C517,1,0C,12,0xB0C523,79 04 1C 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 5F 53 75 62 04,01 03 01 00 11 00 01 FE CB 86 B1 02 0F 4D 44 46 5F 48 50 49 6E 63 72 65 61 73 65 32 01 03 01 00,MDF_LifeTime
dynamic_field,11584815,0xB0C52F,11584816,0xB0C530,1,0F,15,0xB0C53F,42 31 5F 53 75 62 04 0C 4D 44 46 5F 4C 69 66 65 54 69 6D 65 01 03 01 00 11 00 01 FE CB 86 B1 02,01 03 01 00 11 00 01 9D C4 93 8A 07 04 1C 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50,MDF_HPIncrease2
mechanic_symbol,11584844,0xB0C54C,11584845,0xB0C54D,1,1C,28,0xB0C569,86 B1 02 0F 4D 44 46 5F 48 50 49 6E 63 72 65 61 73 65 32 01 03 01 00 11 00 01 9D C4 93 8A 07 04,88 80 80 10 03 A3 97 A2 E7 06 00 00 00 00 A6 AA A3 C8 0D 00 00 00 00 EC AE 85 2D 00 00 00 00 02,MAvatar_Bailu_00_PointB1_Sub
other,11584911,0xB0C58F,11584912,0xB0C590,1,0C,12,0xB0C59C,97 A2 E7 06 00 00 00 00 A6 AA A3 C8 0D 00 00 00 00 EC AE 85 2D 00 00 00 00 02 05 5C 04 EE 15 1A,0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 08 A8 0F 06 90 01 C8 01 04 0C,Overflowheal
entity_selector,11584926,0xB0C59E,11584927,0xB0C59F,1,13,19,0xB0C5B2,00 00 EC AE 85 2D 00 00 00 00 02 05 5C 04 EE 15 1A 0C 4F 76 65 72 66 6C 6F 77 68 65 61 6C 0C 01,08 A8 0F 06 90 01 C8 01 04 0C 4F 76 65 72 66 6C 6F 77 68 65 61 6C 02 00 00 02 31 8A 44 0C 01 0B,ModifierOwnerEntity
other,11584955,0xB0C5BB,11584956,0xB0C5BC,1,0C,12,0xB0C5C8,6C 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 08 A8 0F 06 90 01 C8 01 04,02 00 00 02 31 8A 44 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79 04 23 4D 41 76 61 74 61 72 5F 42,Overflowheal
entity_selector,11584977,0xB0C5D1,11584978,0xB0C5D2,1,0B,11,0xB0C5DD,79 08 A8 0F 06 90 01 C8 01 04 0C 4F 76 65 72 66 6C 6F 77 68 65 61 6C 02 00 00 02 31 8A 44 0C 01,04 23 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 5F 48 50 49 6E 63,ParamEntity
other,11584989,0xB0C5DD,11584990,0xB0C5DE,1,04,4,0xB0C5E2,76 65 72 66 6C 6F 77 68 65 61 6C 02 00 00 02 31 8A 44 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79,61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 5F 48 50 49 6E 63 72 65 61 73 65,#MAv
mechanic_symbol,11584990,0xB0C5DE,11584991,0xB0C5DF,1,23,35,0xB0C602,65 72 66 6C 6F 77 68 65 61 6C 02 00 00 02 31 8A 44 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79 04,01 03 01 00 11 00 01 A6 AA A3 C8 0D 02 0E 4D 44 46 5F 48 50 49 6E 63 72 65 61 73 65 01 03 01 00,MAvatar_Bailu_00_PointB1_HPIncrease
dynamic_field,11585039,0xB0C60F,11585040,0xB0C610,1,0E,14,0xB0C61E,5F 50 6F 69 6E 74 42 31 5F 48 50 49 6E 63 72 65 61 73 65 01 03 01 00 11 00 01 A6 AA A3 C8 0D 02,01 03 01 00 11 00 01 EC AE 85 2D 23 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69,MDF_HPIncrease
mechanic_symbol,11585065,0xB0C629,11585066,0xB0C62A,1,23,35,0xB0C64D,A6 AA A3 C8 0D 02 0E 4D 44 46 5F 48 50 49 6E 63 72 65 61 73 65 01 03 01 00 11 00 01 EC AE 85 2D,84 80 80 10 0E 02 05 6A 02 D5 19 0E 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69,MAvatar_Bailu_00_PointB1_HPIncrease
entity_selector,11585115,0xB0C65B,11585116,0xB0C65C,1,13,19,0xB0C66F,50 6F 69 6E 74 42 31 5F 48 50 49 6E 63 72 65 61 73 65 84 80 80 10 0E 02 05 6A 02 D5 19 0E 0C 01,06 01 03 01 00 11 00 01 D0 81 C4 AF 0D 18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50,ModifierOwnerEntity
mechanic_symbol,11585148,0xB0C67C,11585149,0xB0C67D,1,18,24,0xB0C695,4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 06 01 03 01 00 11 00 01 D0 81 C4 AF 0D,88 80 80 10 01 CF C5 D2 FC 07 00 00 00 00 02 05 6A 02 D5 19 0E 0C 01 13 4D 6F 64 69 66 69 65 72,MAvatar_Bailu_00_PointB3
entity_selector,11585196,0xB0C6AC,11585197,0xB0C6AD,1,13,19,0xB0C6C0,30 5F 50 6F 69 6E 74 42 33 88 80 80 10 01 CF C5 D2 FC 07 00 00 00 00 02 05 6A 02 D5 19 0E 0C 01,5A 01 03 01 00 11 00 01 CF C5 D2 FC 07 17 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 52,ModifierOwnerEntity
mechanic_symbol,11585229,0xB0C6CD,11585230,0xB0C6CE,1,17,23,0xB0C6E5,4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 5A 01 03 01 00 11 00 01 CF C5 D2 FC 07,8C 80 80 10 0E 01 9C C8 C5 ED 0F 00 00 00 00 02 05 6A 02 D5 19 0E 0C 01 13 4D 6F 64 69 66 69 65,MAvatar_Bailu_00_Rank02
entity_selector,11585277,0xB0C6FD,11585278,0xB0C6FE,1,13,19,0xB0C711,30 5F 52 61 6E 6B 30 32 8C 80 80 10 0E 01 9C C8 C5 ED 0F 00 00 00 00 02 05 6A 02 D5 19 0E 0C 01,FA 01 01 03 01 00 11 00 01 9C C8 C5 ED 0F 17 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F,ModifierOwnerEntity
mechanic_symbol,11585311,0xB0C71F,11585312,0xB0C720,1,17,23,0xB0C737,6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 FA 01 01 03 01 00 11 00 01 9C C8 C5 ED 0F,80 80 80 10 02 05 5C 02 31 8A 74 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79 04 20 4D 41 76 61 74,MAvatar_Bailu_00_Rank04
entity_selector,11585348,0xB0C744,11585349,0xB0C745,1,0B,11,0xB0C750,74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 52 61 6E 6B 30 34 80 80 80 10 02 05 5C 02 31 8A 74 0C 01,04 20 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 52 61 6E 6B 30 34 5F 41 74 74 61 63 6B,ParamEntity
other,11585360,0xB0C750,11585361,0xB0C751,1,04,4,0xB0C755,5F 52 61 6E 6B 30 34 80 80 80 10 02 05 5C 02 31 8A 74 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79,61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 52 61 6E 6B 30 34 5F 41 74 74 61 63 6B 55 70 01 03 01, MAv
mechanic_symbol,11585361,0xB0C751,11585362,0xB0C752,1,20,32,0xB0C772,52 61 6E 6B 30 34 80 80 80 10 02 05 5C 02 31 8A 74 0C 01 0B 50 61 72 61 6D 45 6E 74 69 74 79 04,01 03 01 00 11 00 01 B7 E7 E5 FA 09 01 03 01 00 11 00 01 E4 F6 92 B9 0C 00 80 80 80 80 40 02 11,MAvatar_Bailu_00_Rank04_AttackUp
dynamic_field,11585425,0xB0C791,11585426,0xB0C792,1,11,17,0xB0C7A3,70 01 03 01 00 11 00 01 B7 E7 E5 FA 09 01 03 01 00 11 00 01 E4 F6 92 B9 0C 00 80 80 80 80 40 02,01 03 01 00 11 00 01 AB F0 FE 2B 20 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 52 61 6E,MDF_AttackUpRatio
