category,count,first_offset_decimal,first_offset_hex,offsets,value
mechanic,4,11586668,0xB0CC6C,"0xB0CC6C,0xB147F8,0x1D87DA9,0x1E63BF8",#Avatar_BlackSwan_00_Skill01_Phase01
mechanic,4,11594667,0xB0EBAB,"0xB0EBAB,0xB14934,0x1D87F3D,0x1E63D8C",$Avatar_BlackSwan_00_SkillMazeInLevel
mechanic,4,11594719,0xB0EBDF,"0xB0EBDF,0xB0EC0F,0xC8AC6C,0xC8AC9C",$StageAbility_Maze_BlackSwan_Modifier
mechanic,4,13152339,0xC8B053,"0xC8B053,0xC8B2F9,0xC8B3B3,0xC8B4C9",'M_Advanced_BlackSwan_00_Maze_StopAddDot
mechanic,4,26597419,0x195D82B,"0x195D82B,0x195DA6B,0x1970489,0x1DE2058",)Add100pP_BlackSwan_DeBuffDefenceDownCount
mechanic,4,13150338,0xC8A882,"0xC8A882,0xC8FCFF,0x1DC50DF,0x1DC5361",+Avatar_Advanced_BlackSwan_00_PassiveSkill01
mechanic,4,11595536,0xB0EF10,"0xB0EF10,0xB0F312,0xB0F3C7,0x105E577",M_BlackSwan_00_Maze_Flag
mechanic,4,13166046,0xC8E5DE,"0xC8E5DE,0xC8E669,0xC8EB04,0xECC039",ModifierOwnerEntity!MAvatar_Advanced_BlackSwan_00_DOT
mechanic,3,25655768,0x18779D8,"0x18779D8,0x1EB72E4,0x1EB7378",!LocalPlayer_BlackSwan_NormalAtk01
mechanic,3,11586728,0xB0CCA8,"0xB0CCA8,0xB0CF26,0xB1481F",#Avatar_BlackSwan_00_Skill01_Phase02
mechanic,3,11588397,0xB0D32D,"0xB0D32D,0xB0D50D,0xB1486F",#Avatar_BlackSwan_00_Skill02_Phase02
mechanic,3,11591487,0xB0DF3F,"0xB0DF3F,0xB0E0FB,0xB148E5",#Avatar_BlackSwan_00_Skill03_Phase02
mechanic,3,11594897,0xB0EC91,"0xB0EC91,0xB0ED04,0xB1495D",+Avatar_BlackSwan_00_SkillMazeInLevel_Insert
mechanic,3,16719023,0xFF1CAF,"0xFF1CAF,0xFF1D71,0xFF1DDC",+M_GridFight_BlackSwan_00_Insert_DamageAdded
mechanic,3,13146991,0xC89B6F,"0xC89B6F,0xC8FBDA,0x1DC4F9B",",Avatar_Advanced_BlackSwan_00_Skill01_Phase01"
mechanic,3,13147060,0xC89BB4,"0xC89BB4,0xC89E3A,0xC8FC0A",",Avatar_Advanced_BlackSwan_00_Skill01_Phase02"
mechanic,3,13148037,0xC89F85,"0xC89F85,0xC8A16D,0xC8FC6C",",Avatar_Advanced_BlackSwan_00_Skill02_Phase02"
mechanic,3,13149478,0xC8A526,"0xC8A526,0xC8A6EB,0xC8FCCE",",Avatar_Advanced_BlackSwan_00_Skill03_Phase02"
mechanic,3,13151279,0xC8AC2F,"0xC8AC2F,0xC8FD2F,0x1DC5154",-Avatar_Advanced_BlackSwan_00_SkillMazeInLevel
mechanic,3,13155148,0xC8BB4C,"0xC8BB4C,0xC8BCAE,0xC8BDAC","-MAvatar_Advanced_BlackSwan_00_SkillTree03_Sub""MReference_AllDamageTypeAddedRatio"
mechanic,3,15514902,0xECBD16,"0xECBD16,0xECDEFA,0x1DE223C",1BattleEvent_GridFight_BlackSwan_00_PassiveSkill01
mechanic,3,15512190,0xECB27E,"0xECB27E,0xECB6B3,0xECDE56",1BattleEvent_GridFight_BlackSwan_00_Skill02_Camera
mechanic,3,15512125,0xECB23D,"0xECB23D,0xECB44C,0xECDE1F",2BattleEvent_GridFight_BlackSwan_00_Skill02_Phase02
mechanic,3,15514018,0xECB9A2,"0xECB9A2,0xECBB79,0xECDEC3",2BattleEvent_GridFight_BlackSwan_00_Skill03_Phase02
mechanic,3,13151518,0xC8AD1E,"0xC8AD1E,0xC8AD79,0xC8FD61",4Avatar_Advanced_BlackSwan_00_SkillMazeInLevel_Insert
mechanic,3,16714016,0xFF0920,"0xFF0920,0xFF19B4,0xFF1F96",=Avatar_GridFight_BlackSwan_00_PassiveSkill01_BEInsert_Phase01
mechanic,3,16718346,0xFF1A0A,"0xFF1A0A,0xFF1A79,0xFF1FD8",=Avatar_GridFight_BlackSwan_00_PassiveSkill01_BEInsert_Phase02
mechanic,3,16712584,0xFF0388,"0xFF0388,0xFF14E2,0xFF1F0C",@Avatar_GridFight_BlackSwan_00_PassiveSkill01_UltraInsert_Phase01
mechanic,3,16717408,0xFF1660,"0xFF1660,0xFF183A,0xFF1F51",@Avatar_GridFight_BlackSwan_00_PassiveSkill01_UltraInsert_Phase02
mechanic,3,11599301,0xB0FDC5,"0xB0FDC5,0xB0FE53,0xB0FEA5",M_BlackSwan_00_SkillTree03_Sub
mechanic,2,11590794,0xB0DC8A,"0xB0DC8A,0xB14897",!Avatar_BlackSwan_00_Skill03_Cutin
mechanic,2,30965641,0x1D87F89,"0x1D87F89,0x1E63DD8","""Avatar_BlackSwan_00_Skill01_Camera#Avatar_BlackSwan_00_Skill01_Phase01#Avatar_BlackSwan_00_Skill01_Phase02"
mechanic,2,30965758,0x1D87FFE,"0x1D87FFE,0x1E63E4D","""Avatar_BlackSwan_00_Skill02_Camera#Avatar_BlackSwan_00_Skill02_Phase01#Avatar_BlackSwan_00_Skill02_Phase02"
mechanic,2,30965875,0x1D88073,"0x1D88073,0x1E63EC2","""Avatar_BlackSwan_00_Skill03_Camera#Avatar_BlackSwan_00_Skill03_Phase01#Avatar_BlackSwan_00_Skill03_Phase02!Avatar_BlackSwan_00_Skill03_Cutin"
mechanic,2,11588345,0xB0D2F9,"0xB0D2F9,0xB14847",#Avatar_BlackSwan_00_Skill02_Phase01
mechanic,2,11591134,0xB0DDDE,"0xB0DDDE,0xB148BD",#Avatar_BlackSwan_00_Skill03_Phase01
mechanic,2,13153580,0xC8B52C,"0xC8B52C,0xC8B551",#M_Advanced_BlackSwan_00_SkillTree01
mechanic,2,13153991,0xC8B6C7,"0xC8B6C7,0xC8B6EC",#M_Advanced_BlackSwan_00_SkillTree02
mechanic,2,13154980,0xC8BAA4,"0xC8BAA4,0xC8BAC9",#M_Advanced_BlackSwan_00_SkillTree03
mechanic,2,15511573,0xECB015,"0xECB015,0xECDDC1",#StageAbility_GridFight_BlackSwan_00
mechanic,2,30966074,0x1D8813A,"0x1D8813A,0x1E63F89",$Avatar_BlackSwan_00_SkillMazeInLevel+Avatar_BlackSwan_00_SkillMazeInLevel_Insert*
mechanic,2,13153524,0xC8B4F4,"0xC8B4F4,0xC8FD9A",(Avatar_Advanced_BlackSwan_00_SkillTree01
mechanic,2,13153935,0xC8B68F,"0xC8B68F,0xC8FDC7",(Avatar_Advanced_BlackSwan_00_SkillTree02
mechanic,2,13154924,0xC8BA6C,"0xC8BA6C,0xC8FDF4",(Avatar_Advanced_BlackSwan_00_SkillTree03
mechanic,2,26784476,0x198B2DC,"0x198B2DC,0x198B324",*Ev_sfx_avatar_Skill01_Ready_Loop_BlackSwan
mechanic,2,15511636,0xECB054,"0xECB054,0xECB08F",*MStageAbility_GridFight_BlackSwan_00_Basic
mechanic,2,13147976,0xC89F48,"0xC89F48,0xC8FC3B",",Avatar_Advanced_BlackSwan_00_Skill02_Phase01"
mechanic,2,13149116,0xC8A3BC,"0xC8A3BC,0xC8FC9D",",Avatar_Advanced_BlackSwan_00_Skill03_Phase01"
mechanic,2,16711431,0xFEFF07,"0xFEFF07,0xFF1EDC",",Avatar_GridFight_BlackSwan_00_PassiveSkill01"
mechanic,2,16711491,0xFEFF43,"0xFEFF43,0xFF0303",-MAvatar_GridFight_BlackSwan_00_PassiveSkill01
mechanic,2,13153661,0xC8B57D,"0xC8B57D,0xC8B5C9",.M_Advanced_BlackSwan_00_SkillTree01_SubOnEnemy
mechanic,2,15515196,0xECBE3C,"0xECBE3C,0xECBE8E",1MBattleEvent_GridFight_BlackSwan_00_AddDamageAura
mechanic,2,15511868,0xECB13C,"0xECB13C,0xECDDE8",2BattleEvent_GridFight_BlackSwan_00_Skill02_Phase01
mechanic,2,15513617,0xECB811,"0xECB811,0xECDE8C",2BattleEvent_GridFight_BlackSwan_00_Skill03_Phase01
mechanic,2,13155296,0xC8BBE0,"0xC8BBE0,0xC8BC19",5MAvatar_Advanced_BlackSwan_00_SkillTree03_SubListener
mechanic,2,13154352,0xC8B830,"0xC8B830,0xC8B870",<M_Advanced_BlackSwan_00_SkillTree02_AfterEnterBattleListener
mechanic,2,30965296,0x1D87E30,"0x1D87E30,0x1E63C7F",?#Avatar_BlackSwan_00_Skill02_Phase01
mechanic,2,11596771,0xB0F3E3,"0xB0F3E3,0xB1498F",Avatar_BlackSwan_00_SkillTree02
mechanic,2,11599107,0xB0FD03,"0xB0FD03,0xB149B4",Avatar_BlackSwan_00_SkillTree03
mechanic,2,15515336,0xECBEC8,"0xECBEC8,0xECC490",CMBattleEvent_GridFight_BlackSwan_00_PassiveSkill01_DamageAddedRatio
mechanic,2,25656593,0x1877D11,"0x1877D11,0x1EB7317",LocalPlayer_BlackSwan_MazeSkill
mechanic,2,11596818,0xB0F412,"0xB0F412,0xB0F42E",M_BlackSwan_00_SkillTree02
mechanic,2,11599154,0xB0FD32,"0xB0FD32,0xB0FD4E",M_BlackSwan_00_SkillTree03
mechanic,2,11613435,0xB134FB,"0xB134FB,0xB1353E",ModifierOwnerEntity MAvatar_BlackSwan_00_DOT_Enhance
mechanic,2,30965354,0x1D87E6A,"0x1D87E6A,0x1E63CB9",Skill03_Ready#Avatar_BlackSwan_00_Skill03_Phase01!Avatar_BlackSwan_00_Skill03_Cutin
mechanic,1,31216041,0x1DC51A9,0x1DC51A9,"""Avatar_BlackSwan_00_Skill01_Camera,Avatar_Advanced_BlackSwan_00_Skill01_Phase01,Avatar_Advanced_BlackSwan_00_Skill01_Phase02"
mechanic,1,31216176,0x1DC5230,0x1DC5230,"""Avatar_BlackSwan_00_Skill02_Camera,Avatar_Advanced_BlackSwan_00_Skill02_Phase01,Avatar_Advanced_BlackSwan_00_Skill02_Phase02"
mechanic,1,31216311,0x1DC52B7,0x1DC52B7,"""Avatar_BlackSwan_00_Skill03_Camera,Avatar_Advanced_BlackSwan_00_Skill03_Phase01,Avatar_Advanced_BlackSwan_00_Skill03_Phase02!Avatar_BlackSwan_00_Skill03_Cutin"
mechanic,1,31335306,0x1DE238A,0x1DE238A,"""Avatar_BlackSwan_00_Skill03_Camera2BattleEvent_GridFight_BlackSwan_00_Skill03_Phase012BattleEvent_GridFight_BlackSwan_00_Skill03_Phase02!Avatar_BlackSwan_00_Skill03_Cutin"
mechanic,1,27789748,0x1A809B4,0x1A809B4,"""Ev_sfx_avatar_MazeAttack_blackSwan"
mechanic,1,26783401,0x198AEA9,0x198AEA9,%Ev_sfx_avatar_Skill01_Ready_blackSwan
mechanic,1,26784118,0x198B176,0x198B176,%Ev_sfx_avatar_Skill03_Ready_BlackSwan
mechanic,1,26783555,0x198AF43,0x198AF43,(Ev_sfx_avatar_Skill01toSkill02_blackSwan
mechanic,1,26783812,0x198B044,0x198B044,(Ev_sfx_avatar_Skill02toSkill01_blackSwan
mechanic,1,11597461,0xB0F695,0xB0F695,)M_BlackSwan_00_SkillTree02_AddDotOnCreate
mechanic,1,26783467,0x198AEEB,0x198AEEB,*Ev_sfx_avatar_Skill01_Ready_Loop_blackSwan
mechanic,1,26784408,0x198B298,0x198B298,*Ev_sfx_avatar_Skill01_Ready_Stop_BlackSwan
mechanic,1,26784333,0x198B24D,0x198B24D,*Ev_sfx_avatar_Skill02_Ready_Loop_BlackSwan
mechanic,1,26783724,0x198AFEC,0x198AFEC,*Ev_sfx_avatar_Skill02_Ready_Loop_blackSwan
mechanic,1,26784262,0x198B206,0x198B206,*Ev_sfx_avatar_Skill02_Ready_Stop_BlackSwan
mechanic,1,26783987,0x198B0F3,0x198B0F3,*Ev_sfx_avatar_Skill03_Ready_Loop_blackSwan
mechanic,1,26784188,0x198B1BC,0x198B1BC,*Ev_sfx_avatar_Skill03_Ready_Stop_blackSwan
mechanic,1,31216537,0x1DC5399,0x1DC5399,-Avatar_Advanced_BlackSwan_00_SkillMazeInLevel4Avatar_Advanced_BlackSwan_00_SkillMazeInLevel_Insert)
mechanic,1,31335488,0x1DE2440,0x1DE2440,1BattleEvent_GridFight_BlackSwan_00_PassiveSkill01&
mechanic,1,31335144,0x1DE22E8,0x1DE22E8,1BattleEvent_GridFight_BlackSwan_00_Skill02_Camera2BattleEvent_GridFight_BlackSwan_00_Skill02_Phase012BattleEvent_GridFight_BlackSwan_00_Skill02_Phase02
mechanic,1,26596900,0x195D624,0x195D624,2)Add100pP_BlackSwan_DeBuffDefenceDownCount
mechanic,1,58164347,0x377847B,0x377847B,4CA*BlackSwan_00_Skill03_TargetPos_Self_Emeny2
mechanic,1,58164478,0x37784FE,0x37784FE,4CA*BlackSwan_00_Skill03_TargetPos_Self_Emeny3
mechanic,1,31215660,0x1DC502C,0x1DC502C,"?,Avatar_Advanced_BlackSwan_00_Skill02_Phase01"
mechanic,1,31334360,0x1DE1FD8,0x1DE1FD8,?2BattleEvent_GridFight_BlackSwan_00_Skill02_Phase01
mechanic,1,58164179,0x37783D3,0x37783D3,A#BlackSwan_00_Skill03_TargetPos_Self
mechanic,1,58164219,0x37783FB,0x37783FB,A)BlackSwan_00_Skill03_TargetPos_Self_Emeny
mechanic,1,25656795,0x1877DDB,0x1877DDB,ADV_StageAbility_Maze_BlackSwan
mechanic,1,58363527,0x37A8E87,0x37A8E87,BlackSwanPassive
mechanic,1,12462195,0xBE2873,0xBE2873,Caster#BlackSwan_00_Skill03_TargetPos_Self
mechanic,1,13169213,0xC8F23D,0xC8F23D,Caster)MAvatar_Advanced_BlackSwan_00_DOT_Enhance
mechanic,1,15521286,0xECD606,0xECD606,Caster.MAvatar_BlackSwan_00_Rank01_FireResistanceDown
mechanic,1,15521494,0xECD6D6,0xECD6D6,Caster1MAvatar_BlackSwan_00_Rank01_ThunderResistanceDown
mechanic,1,15521074,0xECD532,0xECD532,Caster2MAvatar_BlackSwan_00_Rank01_PhysicalResistanceDown
mechanic,1,13160904,0xC8D1C8,0xC8D1C8,Caster7MAvatar_Advanced_BlackSwan_00_Rank01_FireResistanceDown
mechanic,1,13161267,0xC8D333,0xC8D333,Caster:MAvatar_Advanced_BlackSwan_00_Rank01_ThunderResistanceDown
mechanic,1,13160529,0xC8D051,0xC8D051,Caster;MAvatar_Advanced_BlackSwan_00_Rank01_PhysicalResistanceDown
mechanic,1,12968194,0xC5E102,0xC5E102,DealDamageBlackSwan(MAvatar_TheHerta_00_Passive_MagicMark_42
mechanic,1,12446641,0xBDEBB1,0xBDEBB1,DealDamageBlackSwan)MAvatar_Mydeimos_00_InsertActionAbortFlag
mechanic,1,12968115,0xC5E0B3,0xC5E0B3,DealDamageBlackSwan+MAvatar_TheHerta_00_SkillTree03_ExtraDamage
mechanic,1,26783298,0x198AE42,0x198AE42,Ev_sfx_avatar_Skill01_blackSwan
mechanic,1,26783614,0x198AF7E,0x198AF7E,Ev_sfx_avatar_Skill02_blackSwan
mechanic,1,26783871,0x198B07F,0x198B07F,Ev_sfx_avatar_Skill03_blackSwan
mechanic,1,32207771,0x1EB739B,0x1EB739B,LocalPlayer_BlackSwan_MazeSkill%LocalPlayer_CommonAbility_AttackBreak
mechanic,1,11598053,0xB0F8E5,0xB0F8E5,M_BlackSwan_Tree02_AddDOTFlag)M_BlackSwan_00_SkillTree02_AddDotOnCreate
mechanic,1,13160991,0xC8D21F,0xC8D21F,ModifierOwnerEntity7MAvatar_Advanced_BlackSwan_00_Rank01_FireResistanceDown.MAvatar_BlackSwan_00_Rank01_FireResistanceDown
mechanic,1,13160253,0xC8CF3D,0xC8CF3D,ModifierOwnerEntity7MAvatar_Advanced_BlackSwan_00_Rank01_WindResistanceDown.MAvatar_BlackSwan_00_Rank01_WindResistanceDown
mechanic,1,13161357,0xC8D38D,0xC8D38D,ModifierOwnerEntity:MAvatar_Advanced_BlackSwan_00_Rank01_ThunderResistanceDown1MAvatar_BlackSwan_00_Rank01_ThunderResistanceDown
mechanic,1,13160620,0xC8D0AC,0xC8D0AC,ModifierOwnerEntity;MAvatar_Advanced_BlackSwan_00_Rank01_PhysicalResistanceDown2MAvatar_BlackSwan_00_Rank01_PhysicalResistanceDown
mechanic,1,31215727,0x1DC506F,0x1DC506F,"Skill03_Ready,Avatar_Advanced_BlackSwan_00_Skill03_Phase01!Avatar_BlackSwan_00_Skill03_Cutin"
mechanic,1,31334834,0x1DE21B2,0x1DE21B2,Skill03_Ready2BattleEvent_GridFight_BlackSwan_00_Skill03_Phase01
unknown,30,11588079,0xB0D1EF,"0xB0D1EF,0xB0D874,0xB0DB1E,0xB0E547,0xB0E671,0xB0F076,0xB0F580,0xB0F771,0xB0F9D2,0xB100D9,0xB10B6D,0xB10EF1,0xB1165F,0xB118B7,0xB11B28,0xB12E20,0xB12E93,0xB13690,0xB13775,0xB137F2",MAvatar_BlackSwan_00_DOT
unknown,29,11592125,0xB0E1BD,"0xB0E1BD,0xB0EB2A,0xB1010B,0xB10B31,0xB10F23,0xB11D5D,0xB1211B,0xB12358,0xB126CB,0xB127A5,0xB12947,0xB12A13,0xB12B78,0xB12C40,0xB12DE4,0xB12FB8,0xB130EA,0xB13355,0xB134D3,0xB1358B", MAvatar_BlackSwan_00_DOT_Enhance
unknown,20,11600199,0xB10147,"0xB10147,0xB1030D,0xB10514,0xB10665,0xB106CA,0xB10733,0xB10BA0,0xB10D6D,0xB10F5F,0xB1110E,0xB112B3,0xECC670,0xECC836,0xECCA60,0xECCAC5,0xECCB2E,0xECCF60,0xECD114,0xECD2C3,0xECD468",.MAvatar_BlackSwan_00_Rank01_WindResistanceDown
unknown,19,11600411,0xB1021B,"0xB1021B,0xB1041F,0xB105AA,0xB108E5,0xB1094A,0xB109B3,0xB10C74,0xB10E47,0xB11033,0xB111F2,0xB11395,0xECC744,0xECC948,0xECCCE0,0xECCD45,0xECCDAE,0xECD03A,0xECD1E8,0xECD3A7",.MAvatar_BlackSwan_00_Rank01_FireResistanceDown
unknown,19,11600515,0xB10283,"0xB10283,0xB104A6,0xB105F3,0xB10A1F,0xB10A87,0xB10AF3,0xB10CDC,0xB10EB2,0xB1109B,0xB11262,0xB11404,0xECC7AC,0xECC9CF,0xECCE1A,0xECCE82,0xECCEEE,0xECD0A5,0xECD250,0xECD417",1MAvatar_BlackSwan_00_Rank01_ThunderResistanceDown
unknown,19,11600303,0xB101AF,"0xB101AF,0xB10394,0xB1055D,0xB1079F,0xB10808,0xB10875,0xB10C08,0xB10DD8,0xB10FC7,0xB1117E,0xB11322,0xECC6D8,0xECC8BD,0xECCB9A,0xECCC03,0xECCC70,0xECCFCB,0xECD17C,0xECD333",2MAvatar_BlackSwan_00_Rank01_PhysicalResistanceDown
unknown,18,13150134,0xC8A7B6,"0xC8A7B6,0xC8ABE8,0xC8B094,0xC8DC84,0xC8DECA,0xC8E1B1,0xC8E374,0xC8E745,0xC8E880,0xC8E9BB,0xC8EBFB,0xC8F03C,0xC8F3D1,0xC8F7A5,0xC8FB03,0xECBC4A,0xECC44B,0xECDA53",)MAvatar_Advanced_BlackSwan_00_DOT_Enhance
unknown,18,27789863,0x1A80A27,"0x1A80A27,0x1A80A62,0x1A80CA8,0x1A80CD3,0x1A80D09,0x1A80D3F,0x1A80D75,0x1A80DAB,0x1A80DE2,0x1A80E19,0x1A80E50,0x1A80E87,0x1A80EB6,0x1A80EE5,0x1A80F16,0x1A80F47,0x1A80F7B,0x1A80FAF",Ev_sfx_foley_avatar_BlackSwan
unknown,17,13152598,0xC8B156,"0xC8B156,0xC8BF8B,0xC8CB13,0xC8D971,0xC8E520,0xC8E587,0xC8EA04,0xC8EF70,0xC8EFD7,0xC8F1D6,0xC8F218,0xC8F895,0xC8F9A4,0xC8FAA8,0xECDB0C,0xECDC53,0x105E6F7",!MAvatar_Advanced_BlackSwan_00_DOT
unknown,15,11592977,0xB0E511,"0xB0E511,0xB11CE4,0xB13297,0xB132DB,0xB13494,0xB13620,0xB1370B,0xB13860,0xB142F7,0xB14769,0xFF00D6,0xFF09C6,0xFF0E6A,0xFF0FF6,0xFF1064",M_BlackSwan_00_ForbidEffectFlag
unknown,13,11599835,0xB0FFDB,"0xB0FFDB,0xB10036,0xB1007C,0xECC580,0xECC5E3,0xECD4D7,0xECD508,0xECD5AB,0xECD5DC,0xECD67B,0xECD6AC,0xECD74E,0xECD77F",&MAvatar_BlackSwan_00_Rank01_SubOnEnemy
unknown,10,13156028,0xC8BEBC,"0xC8BEBC,0xC8BF28,0xC8CFE4,0xC8D01E,0xC8D15B,0xC8D195,0xC8D2C6,0xC8D300,0xC8D43A,0xC8D474",/MAvatar_Advanced_BlackSwan_00_Rank01_SubOnEnemy
unknown,9,13150753,0xC8AA21,"0xC8AA21,0xC8B622,0xC8B71E,0xC8B8CE,0xC8D53B,0xC8D643,0xC8D79E,0xC8F718,0xC8FBB3",!TAvatar_Advanced_BlackSwan_AddDOT
unknown,9,13156296,0xC8BFC8,"0xC8BFC8,0xC8C1B2,0xC8C400,0xC8C46E,0xC8C4E0,0xC8C96C,0xC8CB50,0xC8CD23,0xC8CEEC",7MAvatar_Advanced_BlackSwan_00_Rank01_WindResistanceDown
unknown,8,13156526,0xC8C0AE,"0xC8C0AE,0xC8C2D6,0xC8C6B6,0xC8C724,0xC8C796,0xC8CA58,0xC8CC36,0xC8CE19",7MAvatar_Advanced_BlackSwan_00_Rank01_FireResistanceDown
unknown,8,13156639,0xC8C11F,"0xC8C11F,0xC8C366,0xC8C80B,0xC8C87C,0xC8C8F1,0xC8CACC,0xC8CCA7,0xC8CE92",:MAvatar_Advanced_BlackSwan_00_Rank01_ThunderResistanceDown
unknown,8,13156409,0xC8C039,"0xC8C039,0xC8C242,0xC8C555,0xC8C5C7,0xC8C63D,0xC8C9E0,0xC8CBC1,0xC8CD9C",;MAvatar_Advanced_BlackSwan_00_Rank01_PhysicalResistanceDown
unknown,8,11592812,0xB0E46C,"0xB0E46C,0xB11564,0xB11C0C,0xB12F44,0xB14677,0xB147B0,0xF64B41,0x1144A39",M_BlackSwan_P01_AddDOTFlag
unknown,7,13163197,0xC8DABD,"0xC8DABD,0xC8EAA0,0xC8EBB3,0xC8F37F,0xC8F856,0xC8FB5E,0xECDACD",(M_Advanced_BlackSwan_00_ForbidEffectFlag
unknown,7,15515928,0xECC118,"0xECC118,0xECC1D6,0xECC274,0xECD83B,0xECD94D,0xECD9BC,0xECDD90",+TAvatar_GridFight_Advanced_BlackSwan_AddDOT
unknown,6,13148987,0xC8A33B,"0xC8A33B,0xC8B7A7,0xC8B93D,0xC8B9ED,0xECB632,0x19704B8",)MAvatar_Advanced_BlackSwan_00_DefenceDown
unknown,6,26596623,0x195D50F,"0x195D50F,0x195D741,0x195D8FC,0x195D9E2,0x1970563,0x1DE2108",Add100nP_BlackSwan_BleedCheck
unknown,6,26596692,0x195D554,"0x195D554,0x195D766,0x195D921,0x195DA03,0x1970588,0x1DE212D",Add100nP_BlackSwan_BurnCheck
unknown,6,26596832,0x195D5E0,"0x195D5E0,0x195D7B2,0x195D96D,0x195DA49,0x19705D4,0x1DE2179",Add100nP_BlackSwan_PoisonCheck
unknown,6,11609560,0xB125D8,"0xB125D8,0xB12635,0xB13219,0xB13257,0xB13ED0,0xB146E6",M_BlackSwan_DOT_DefenceIgnore
unknown,5,26597257,0x195D789,"0x195D789,0x195D944,0x195DA23,0x19705AB,0x1DE2150", Add100nP_BlackSwan_ElectricCheck
unknown,5,13150713,0xC8A9F9,"0xC8A9F9,0xC8DA46,0xC8F6EB,0xC8FB8B,0xECC24C",#M_Advanced_BlackSwan_P01_AddDOTFlag
unknown,5,9155436,0x8BB36C,"0x8BB36C,0x8C8FD3,0x8F1E7B,0x8FFAE2,0x9365F1",Avatar_BlackSwan_00
unknown,5,13736337,0xD19991,"0xD19991,0xD19B69,0xD19C6C,0xD1DEEB,0x4938681",BattleEvent_BlackSwan
unknown,5,13164922,0xC8E17A,"0xC8E17A,0xC8E344,0xC8E652,0xC8EAD4,0xC8EF06",BlackSwan_DOT
unknown,5,11605309,0xB1153D,"0xB1153D,0xB1382B,0xB13F32,0xB14708,0xFF1032",M_BlackSwan_DOTFlag
unknown,5,30817955,0x1D63EA3,"0x1D63EA3,0x5480851,0x60C1B2D,0x6A21726,0x720EA0D",StoryCrystal_BlackSwan_00
unknown,4,11590039,0xB0D997,"0xB0D997,0xB0DA29,0xB0DC28,0x195D85A", MAvatar_BlackSwan_00_DefenceDown
unknown,4,16715430,0xFF0EA6,"0xFF0EA6,0xFF0EE5,0xFF1918,0xFF1980",#MGridFight_BlackSwan_00_DOT_Enhance
unknown,4,13161698,0xC8D4E2,"0xC8D4E2,0xC8D508,0xECD7E2,0xECD808",$MAvatar_Advanced_BlackSwan_00_Rank02
unknown,4,16711659,0xFEFFEB,"0xFEFFEB,0xFF067F,0xFF06BF,0xFF0705",%TAvatar_GridFight_BlackSwan_00_AddDOT
unknown,4,11592759,0xB0E437,"0xB0E437,0xB0E9C6,0xB0EA59,0xB0EA85",*M_BlackSwan_P01_ListenAddPoison_SubOnEnemy
unknown,4,13736205,0xD1990D,"0xD1990D,0xD19F2C,0xF645FE,0xFF1DA0",-Character_BlackSwan_00_BattleEvent_01Timeline
