game_version,component,path,size,sha256,role,confidence,notes
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",ClientConfig.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\ClientConfig.bytes,148,D68EA7EE48D8171FB7122BF304528776666BCBDA9A69574ACE734447B0C04F43,config,CONFIRMED,client config
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",DevConfig.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DevConfig.bytes,51,0D4AD46A0FE7CC5443B5431116CB00D89C9EB3B22B25894ECF098B4A180C6FE2,config,CONFIRMED,dev config
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",xlua.dll,D:\StarRail_4.4.53\StarRail_Data\Plugins\x86_64\xlua.dll,4798256,BB644803888385AEFA7124FD411682B82B5ABB5D57DA7C56B65A421B931E1511,lua_runtime,CONFIRMED,xLua runtime (Lua 5.3)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",xluau.dll,D:\StarRail_4.4.53\StarRail_Data\Plugins\x86_64\xluau.dll,2825520,AACDB6BEE627DF3CAF080E68B0239E03C059C3504EBBE9E21077F9A428EECC4B,lua_runtime,CONFIRMED,xLuaU runtime (Luau variant)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",ZFEmbedWeb.dll,D:\StarRail_4.4.53\StarRail_Data\Plugins\x86_64\ZFEmbedWeb.dll,777520,6AA1AA56613DFE5728597549FFAF56C3D46930208BDE10822EBEDB91225D5E5D,native_plugin,CONFIRMED,webview plugin
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",zf_cef.dll,D:\StarRail_4.4.53\StarRail_Data\Plugins\x86_64\zf_cef.dll,168621360,8DA7A0BFA240E0DF234A58E609D9961EE6BBDB4E6928137317ED0B0F344E10D8,native_plugin,CONFIRMED,CEF browser plugin
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",M_ArchiveV.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Archive\Windows\M_ArchiveV.bytes,1504,47D199B626BC63BD12B1BC17D30F97E83E57D90490A512BD8C84B6342EC90995,version_marker,CONFIRMED,archive version marker JSON
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",1f0ec04a11f323b36c8369cbf0c905e1.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\1f0ec04a11f323b36c8369cbf0c905e1.bytes,224587,0D32A28E026BE0B831AD5E92FC53DBF4FB33E8EF50CBD3EF574B8CCAEB163D5A,design_data,CONFIRMED,persistent (downloaded) design data archive; 8625dd99 is the ability/config archive replacing 5515caf6
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",30818e0b10414ed05c158dac85489729.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\30818e0b10414ed05c158dac85489729.bytes,25589225,919A7EE7726A550B3143B0B5A45510A1EE66D9A1CB646396317B65BF356AEBE2,design_data,CONFIRMED,persistent (downloaded) design data archive; 8625dd99 is the ability/config archive replacing 5515caf6
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",3e926c8cccec08378280ed22f0734834.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\3e926c8cccec08378280ed22f0734834.bytes,4759404,17340EA117ECCC0457A647B43308C34F2053E2E208EC78DE16DEE69EFC9B717F,design_data,CONFIRMED,persistent (downloaded) design data archive; 8625dd99 is the ability/config archive replacing 5515caf6
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,098EC31C5C03A0F6FBF030D6B2579A5E60C03639CE7060F68FA52371A03DC64B,design_data,CONFIRMED,persistent (downloaded) design data archive; 8625dd99 is the ability/config archive replacing 5515caf6
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",a0ce41c3b0933d8ad6977ec82422ca88.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\a0ce41c3b0933d8ad6977ec82422ca88.bytes,21092777,5CA75D79B14E5ACA881E0BD9844ED7F0D72D4661A857A9F1DB69680536489063,design_data,CONFIRMED,persistent (downloaded) design data archive; 8625dd99 is the ability/config archive replacing 5515caf6
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",c2774a75bfdb7038886bd8a66f63ec56.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\c2774a75bfdb7038886bd8a66f63ec56.bytes,19447915,6F8AC07EE2D822FDB41438CCBF2469957C88DE6BAA5974D6DB3429DBD5446C49,design_data,CONFIRMED,persistent (downloaded) design data archive; 8625dd99 is the ability/config archive replacing 5515caf6
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",DesignV_bea43e36c75b075f9adb09b2da9bd30a.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\DesignV_bea43e36c75b075f9adb09b2da9bd30a.bytes,2212593,6CA926CF2E9BA1CA10FAB0CB1030809D311DF301201D286312A663CF67DFFA01,design_version_table,CONFIRMED,design data version table blob
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",edd7d527b0962f4ec2e49789746fb0d2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\edd7d527b0962f4ec2e49789746fb0d2.bytes,184370,078AC12FAB39F08401B777D9F7C35BA0B1248CB28F7AF19AFFA1EA900FA731E4,design_data,CONFIRMED,persistent (downloaded) design data archive; 8625dd99 is the ability/config archive replacing 5515caf6
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",M_DesignV.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\M_DesignV.bytes,66,55FE52A122027B139516B198FE19B6EC5FFFD482F6A31978327985721216E04F,version_marker,CONFIRMED,persistent design version marker SRMI
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",248c990bf8f9f9bbe1e17d8b75326f26.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\248c990bf8f9f9bbe1e17d8b75326f26.bytes,89857,E896DDEAA9BAEBE5FCBEE483FC83008EBC8F1332CF533CA0AD5717A6649E5E90,design_data,CONFIRMED,streaming (base) design data chunk
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",264da6d7fc597d81d3d3668561853bb6.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\264da6d7fc597d81d3d3668561853bb6.bytes,73850,7C368D174CC0846229A1BD0CCC8FC382767D2412EBB2679501762ADFD23AE6B8,design_data,CONFIRMED,streaming (base) design data chunk
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",27a4e8f4afb4ef972025582a68ff8f7a.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\27a4e8f4afb4ef972025582a68ff8f7a.bytes,94706,E072EC02E6C8ADCC8FF375BF04EBE2738AD57D8DDA0C811104B07A542F891775,design_data,CONFIRMED,streaming (base) design data chunk
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",4a010a4ebe3885924fb1d42f0454aacd.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\4a010a4ebe3885924fb1d42f0454aacd.bytes,210525,F04E7E37A620A8126EFDFE9AF9D9FB868C2F2D8DDCF3029F6AE7B31F1D6D507D,design_data,CONFIRMED,streaming (base) design data chunk
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",568be8a890f00f6dbc419045f1c8ab63.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\568be8a890f00f6dbc419045f1c8ab63.bytes,71241,5997128EA41CD5B419739A7876EF4A4F123E8B32C15608857DBA5214A734427F,design_data,CONFIRMED,streaming (base) design data chunk
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",96da02a55ec4d58012713ac3506330a6.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\96da02a55ec4d58012713ac3506330a6.bytes,80021,9B2A300DCD5217EFFE5A15BE9DD6091B237968B005B79300BD1577E39FB86BB6,design_data,CONFIRMED,streaming (base) design data chunk
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",DesignV_46a2c5f4eef3485b7bf0c5033390a4df.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\DesignV_46a2c5f4eef3485b7bf0c5033390a4df.bytes,714,0DBD8FDC615ED078DF52AEBD7AA8BF8C65C4D6BF9F8D0482719C9607961080C6,design_version_table,CONFIRMED,streaming base design version table
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",M_DesignV.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\M_DesignV.bytes,66,EA4B67E7F7C71924377060A0FF37EFB06014A9C3B3E97FF62C365F01EEAC1612,version_marker,CONFIRMED,streaming (base) design version marker
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",M_Design_ArchiveV.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\M_Design_ArchiveV.bytes,428,71A67A0F7EB5546ED1522B5812023DAB8BFF439CEAAC9819536BBE76F7F560AC,version_marker,CONFIRMED,streaming (base) design version marker
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",09ef58e750b245c5475876ff3f7cc999.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\09ef58e750b245c5475876ff3f7cc999.bytes,83649,9E31FA6EA09D80B8D6DC1334C1EE68C7841483981659E5B3E375D06D5910B595,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",0b25d16642870083e0bcf2da52f5f156.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\0b25d16642870083e0bcf2da52f5f156.bytes,2121964,F42BCE4D18B3609EC5741A06B1EDD383FA16FBF0A3A3B7CC87F6FD685AFDAB93,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",0ccc111d9a2f32b67fd763793b1639a9.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\0ccc111d9a2f32b67fd763793b1639a9.bytes,45633187,1C1C3146EE0DB6DC7A3B118692B320859E39AD4FB86F3F15714486FB50ED959D,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",339c63e12b57c2f568be762f7640ae16.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\339c63e12b57c2f568be762f7640ae16.bytes,1553015,E164CADC581FF44839D6F890D4EC3362D9EB3A2293463E1F10154854ABE3F766,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",34b118420d231ae6d6a1c6d7c571e4f9.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\34b118420d231ae6d6a1c6d7c571e4f9.bytes,398,975955111724AB0C7D9A8FCF080332909D1304C5E25356CA7DE855D57FE7BB68,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",394b0ceca8ebc4bef501c73b500ad7df.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\394b0ceca8ebc4bef501c73b500ad7df.bytes,102837,6A11930C832F301C11F07B23CC043B35C5C24A5E62816C256160F7EBCF81E625,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",452561131ac6ad2029b61f581c122888.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\452561131ac6ad2029b61f581c122888.bytes,9050,8E8FBF1D91B8DD377E58AF1894865E03667CA1E062711267860777658CD68E22,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",46236fed3ea0d2be7448a3a84272c19b.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\46236fed3ea0d2be7448a3a84272c19b.bytes,1161258,55063483BE23C0EC85B6AB97B9CD47EA850A5F14CEA6D93C485327D924D52C74,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",4782db1c8de1d9a2aa49c6e4a92dfe9d.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\4782db1c8de1d9a2aa49c6e4a92dfe9d.bytes,172042,DA816F34935C39906C75C4FD9E66CE63A064F73E75EEFC163C7560CD285AFE02,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",6f3782587cad102a7ef71394fe9e4108.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\6f3782587cad102a7ef71394fe9e4108.bytes,13760,42DBD9BEC4F3C375B0DEAB80E63D3A7169AE4518E539C7523D69D6970048A41D,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",862964ed8767ab7bcc1b2d084e3e5533.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\862964ed8767ab7bcc1b2d084e3e5533.bytes,2312,0E9743502C492DE61AEA45AB38FBD69F3D9B264919F6A84F8E6F69740628E0EE,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",b0978c4aad6b4dbe05622a3f346f9fed.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\b0978c4aad6b4dbe05622a3f346f9fed.bytes,9552,AB10F044302FEC188AC1E4DADC156483505D0833A8662476093CCC0E7A034132,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",b18721523c042d4f67123ead7be163b8.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\b18721523c042d4f67123ead7be163b8.bytes,10046,81A69E01E13D5665CFF6C02F71D08AD2600ADBB82C49182239AF1128E61D26FD,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",c0b5c07059dcf39e655928654994f29c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\c0b5c07059dcf39e655928654994f29c.bytes,461,B5435D5F9B45F4D08CA081253B85C6F29D282741C99A2F6C6419588AC957509D,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",LuaV_b3d74e6575cf957832a2d514e3b54b9f.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\LuaV_b3d74e6575cf957832a2d514e3b54b9f.bytes,306530,91264FC126C672CF1BAF8FF52AEBB233A953BC057E61FCD360733C4D6C1CF68F,version_marker,CONFIRMED,lua version table
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",M_LuaV.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Lua\Windows\M_LuaV.bytes,66,CC74EAA414166E13E86CD4755F52C62F3F38414983C8F9FB347D9B389E177AF8,version_marker,CONFIRMED,lua version marker
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",26c3a538227de6c0b549c70b5abb7ba0.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\26c3a538227de6c0b549c70b5abb7ba0.bytes,291,1E4F18C2C920D114C9449CDE7250B01DE60592C251CABCCCEE241648DDD56231,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",43cfe1f48956c6a97aec6748a6e5a607.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\43cfe1f48956c6a97aec6748a6e5a607.bytes,10792,08F89F0B4EE3F7D141164A6D485B1AFE77A7CAE89FB239FA749EB8883169BDA2,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",4b73794f8dc229d63babfec853c39704.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\4b73794f8dc229d63babfec853c39704.bytes,55782,9C899E8A800D66C8651E59AB1A22526B3E9BF8AA0AD9E735F1D8401B255327CF,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",58599541e95827fa47734a7a85ef9aa2.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\58599541e95827fa47734a7a85ef9aa2.bytes,6627,6B0F6BC972A84E0B2E39C2DA182C10E118341C90EC1E3C32F00E2B6CCAC9F5AE,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",621432b4e13732ebc0527ebc7429fe44.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\621432b4e13732ebc0527ebc7429fe44.bytes,941759,3E84D2BDC76F35027FB92C6399FDFBBD267FEE767F9858E47672B7BA315A9D24,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",6a67f10a50dac088aeb578e81987f1e8.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\6a67f10a50dac088aeb578e81987f1e8.bytes,37767836,D59364A15C13C6A71A67211FD111C0D5DB9D28D4A5C19C99A6B4C8CA5172BFA0,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",6ba7e4d782cb3449336adaf862c15466.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\6ba7e4d782cb3449336adaf862c15466.bytes,352,142C6422EF1850DBA7A5F7BB430B94C13F9D4FC235B5380EFC2E41BE92AAF3FB,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",730616515026689b663e4f1b92b6af1b.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\730616515026689b663e4f1b92b6af1b.bytes,8156,04204ED1E3729C67BB67A1608373B6D4C606DEED5CA06228A329D3DFE10F6618,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",78773b926a9efd19ca3bf718cab8e1e5.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\78773b926a9efd19ca3bf718cab8e1e5.bytes,7454,EE7E202F3E8C1FB0EE0513F2E2568A6FAB297E01EF5F2B3EDD9C3FB1625653C8,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",a42475c753b4c81814e76f4d8dfaedbd.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\a42475c753b4c81814e76f4d8dfaedbd.bytes,1281804,8C6809840F967896B4A60CE70E13E8134530DAC61D1D4E201F9FB8256B23A09B,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",a459afc7c60ce6295584b1cf4dce9e6c.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\a459afc7c60ce6295584b1cf4dce9e6c.bytes,2119900,84197DE7AC50C6BD60189C4B662D57D6C7B0098DA333401D99F9BA5D7166746B,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",ba4702706f6638a93de679aca0e0eaa6.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\ba4702706f6638a93de679aca0e0eaa6.bytes,1778,B18ABC5ED678A00407719D6F92919ECD0D1B3562A519023B179B85E3FE21B9F8,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",e265493fe660f43cced0da54ec2949a6.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\e265493fe660f43cced0da54ec2949a6.bytes,80062,98C7AC90388E2F9336A382D866B4CE7B049CBC67E90054501627DEB6218FF8FD,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",e454a99be7d42d48bc897917b84c7c2b.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\e454a99be7d42d48bc897917b84c7c2b.bytes,133388,BDEAEFE1ED5BB26ED62B441E9C74A9D2E91976918E87C6041A38FE6ACC3A3122,lua_data,CONFIRMED,lua bytecode archive (encrypted)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",LuaV_a0a7bd093fe9fe55dba0720cd7f425ea.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\LuaV_a0a7bd093fe9fe55dba0720cd7f425ea.bytes,306530,40267AF040F0AFFB003C31CFAAD2DD60DA7CF075D2730835EC5CC2B4C94E6D48,version_marker,CONFIRMED,lua version table
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",M_LuaV.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\Lua\Windows\M_LuaV.bytes,66,87BD5115AB8C8750E31F24590654EC2E2242410F7A1B44A88FE35E5EED9E5D43,version_marker,CONFIRMED,lua version marker
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",M_ArchiveV.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\Archive\Windows\M_ArchiveV.bytes,1504,47D199B626BC63BD12B1BC17D30F97E83E57D90490A512BD8C84B6342EC90995,version_marker,CONFIRMED,archive version marker
